,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,418.041573,1198.0,898.588405,480.54683199999994,350.11487396470903
1,2.0,3816.819194,1199.0,7994.990743,4178.171549000001,0.0
2,3.0,0.880242,1199.0,727.449798,726.569556,0.0
3,4.0,3515.096995,1200.0,7661.148239,4146.051244,0.0
4,5.0,417.761955,1201.0,913.803712,496.041757,0.0
5,6.0,401.688845,1201.0,1131.703025,730.01418,0.0
6,7.0,3917.038566,1202.0,8068.320867,4151.282301,0.0
7,8.0,0.301011,1202.0,3780.86207,3780.561059,0.0
8,9.0,417.132076,1203.0,3858.839899,3441.707823,0.0
9,10.0,904.567299,1204.0,1662.418432,757.8511329999999,0.0
10,11.0,403.865955,1204.0,4551.904218,4148.0382629999995,0.0
11,12.0,501.319496,1205.0,1242.723559,741.404063,0.0
12,13.0,423.323979,1205.0,909.775033,486.451054,0.0
13,14.0,4515.784016,1206.0,5315.727236,799.9432200000001,0.0
14,15.0,404.028643,1207.0,1176.485541,772.456898,0.0
15,16.0,3512.88407,1207.0,7647.98123,4135.09716,0.0
16,17.0,417.802758,1208.0,869.535,451.732242,0.0
