,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,2114831891.0,0.0,6677.396604,0.0,362.0656155915679,0.0,5.0267131747
1,2.0,370391363.0,0.0,3616.30148,0.0,0.0,0.0,0.0
2,3.0,1619549594.0,0.0,6224.707661,0.0,0.0,0.0,0.0
3,4.0,404115381.0,0.0,4904.918124,0.0,0.0,0.0,0.0
4,5.0,411114224.0,0.0,4952.790265,0.0,0.0,0.0,0.0
5,6.0,302997388.0,0.0,4833.293123,0.0,0.0,0.0,0.0
6,7.0,304505276.0,0.0,4813.630066,0.0,0.0,0.0,0.0
7,8.0,402980911.0,0.0,4552.331491,0.0,0.0,0.0,0.0
8,9.0,703960439.0,0.0,5048.212968,0.0,0.0,0.0,0.0
9,10.0,309662421.0,0.0,4879.533628,0.0,0.0,0.0,0.0
10,11.0,302470240.0,0.0,4451.83394,0.0,0.0,0.0,0.0
11,12.0,720143060.0,0.0,5083.811677,0.0,0.0,0.0,0.0
12,13.0,402364748.0,0.0,4984.509641,0.0,0.0,0.0,0.0
13,14.0,402317850.0,0.0,4854.105785,0.0,0.0,0.0,0.0
14,15.0,311822966.0,0.0,4763.323385,0.0,0.0,0.0,0.0
15,16.0,325922862.0,0.0,5046.5165,0.0,0.0,0.0,0.0
16,17.0,302424454.0,0.0,5299.551041,0.0,0.0,0.0,0.0
17,18.0,239815401.0,0.0,3323.639794,0.0,0.0,0.0,0.0
18,19.0,1910855827.0,0.0,5981.23288,0.0,0.0,0.0,0.0
19,20.0,809603547.0,0.0,5319.235538,0.0,0.0,0.0,0.0
20,21.0,302677598.0,0.0,4487.573323,0.0,0.0,0.0,0.0
21,22.0,806257298.0,0.0,4797.81329,0.0,0.0,0.0,0.0
22,23.0,807648182.0,0.0,5141.992456,0.0,0.0,0.0,0.0
23,24.0,803153727.0,0.0,5353.064994,0.0,0.0,0.0,0.0
24,25.0,310930997.0,0.0,4963.013289,0.0,0.0,0.0,0.0
25,26.0,407311632.0,0.0,5111.972546,0.0,0.0,0.0,0.0
26,27.0,206463264.0,0.0,4604.261315,0.0,0.0,0.0,0.0
27,28.0,702980140.0,0.0,5129.39482,0.0,0.0,0.0,0.0
28,29.0,402435503.0,0.0,5154.696075,0.0,0.0,0.0,0.0
29,30.0,302380797.0,0.0,4701.857677,0.0,0.0,0.0,0.0
30,31.0,511201215.0,0.0,4981.394046,0.0,0.0,0.0,0.0
31,32.0,506861879.0,0.0,5241.699103,0.0,0.0,0.0,0.0
32,33.0,305636409.0,0.0,4851.443353,0.0,0.0,0.0,0.0
33,34.0,327810775.0,0.0,3269.898864,0.0,0.0,0.0,0.0
34,35.0,2416258138.0,0.0,6873.168666,0.0,0.0,0.0,0.0
35,36.0,504824399.0,0.0,5240.933604,0.0,0.0,0.0,0.0
36,37.0,305318639.0,0.0,4950.975018,0.0,0.0,0.0,0.0
37,38.0,402318803.0,0.0,4536.731108,0.0,0.0,0.0,0.0
38,39.0,814488112.0,0.0,5454.314853,0.0,0.0,0.0,0.0
39,40.0,506947176.0,0.0,5064.844883,0.0,0.0,0.0,0.0
40,41.0,402809136.0,0.0,5246.604192,0.0,0.0,0.0,0.0
41,42.0,6162552.0,0.0,4823.280177,0.0,0.0,0.0,0.0
42,43.0,402590145.0,0.0,5083.432344,0.0,0.0,0.0,0.0
43,44.0,206082361.0,0.0,3960.657973,0.0,0.0,0.0,0.0
44,45.0,1219985596.0,0.0,5584.382252,0.0,0.0,0.0,0.0
45,46.0,708959052.0,0.0,5455.207911,0.0,0.0,0.0,0.0
46,47.0,211106240.0,0.0,5059.968617,0.0,0.0,0.0,0.0
47,48.0,207389671.0,0.0,5028.791336,0.0,0.0,0.0,0.0
48,49.0,408577855.0,0.0,5367.167845,0.0,0.0,0.0,0.0
49,50.0,266830704.0,0.0,6714.611455,0.0,0.0,0.0,0.0
50,51.0,206647416.0,0.0,4702.448317,0.0,0.0,0.0,0.0
51,52.0,405682337.0,0.0,5145.386327,0.0,0.0,0.0,0.0
52,53.0,313535124.0,0.0,4643.53076,0.0,0.0,0.0,0.0
53,54.0,712139523.0,0.0,5438.984386,0.0,0.0,0.0,0.0
54,55.0,305250078.0,0.0,5293.917509,0.0,0.0,0.0,0.0
55,56.0,1602820.0,0.0,4120.880942,0.0,0.0,0.0,0.0
56,57.0,908317256.0,0.0,5817.986844,0.0,0.0,0.0,0.0
57,58.0,108315419.0,0.0,4899.017763,0.0,0.0,0.0,0.0
58,59.0,127360584.0,0.0,5092.9923,0.0,0.0,0.0,0.0
59,60.0,104492886.0,0.0,4601.622358,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
