,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,0.0,0.0,3441.603315,0.0,190.40845607860706,0.0,6.546567126282609
1,2.0,0.0,0.0,3406.445296,0.0,0.0,0.0,0.0
2,3.0,0.0,0.0,3564.043741,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,3025.782761,0.0,0.0,0.0,0.0
4,5.0,0.0,0.0,3236.465578,0.0,0.0,0.0,0.0
5,6.0,0.0,0.0,4915.465946,0.0,0.0,0.0,0.0
6,7.0,0.0,0.0,1940.886097,0.0,0.0,0.0,0.0
7,8.0,0.0,0.0,3272.078381,0.0,0.0,0.0,0.0
8,9.0,0.0,0.0,3341.461475,0.0,0.0,0.0,0.0
9,10.0,0.0,0.0,3043.243999,0.0,0.0,0.0,0.0
10,11.0,0.0,0.0,2665.593864,0.0,0.0,0.0,0.0
11,12.0,0.0,0.0,3468.421615,0.0,0.0,0.0,0.0
12,13.0,0.0,0.0,3657.565186,0.0,0.0,0.0,0.0
13,14.0,0.0,0.0,2800.345289,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,3584.050109,0.0,0.0,0.0,0.0
15,16.0,0.0,0.0,3203.240966,0.0,0.0,0.0,0.0
16,17.0,0.0,0.0,3312.269455,0.0,0.0,0.0,0.0
17,18.0,0.0,0.0,3194.160909,0.0,0.0,0.0,0.0
18,19.0,0.0,0.0,2730.154277,0.0,0.0,0.0,0.0
19,20.0,0.0,0.0,3595.595869,0.0,0.0,0.0,0.0
20,21.0,0.0,0.0,3340.919301,0.0,0.0,0.0,0.0
21,22.0,0.0,0.0,2568.467614,0.0,0.0,0.0,0.0
22,23.0,0.0,0.0,4161.241287,0.0,0.0,0.0,0.0
23,24.0,0.0,0.0,3068.709949,0.0,0.0,0.0,0.0
24,25.0,0.0,0.0,3109.094276,0.0,0.0,0.0,0.0
25,26.0,0.0,0.0,3608.178641,0.0,0.0,0.0,0.0
26,27.0,0.0,0.0,3076.996988,0.0,0.0,0.0,0.0
27,28.0,0.0,0.0,3409.809481,0.0,0.0,0.0,0.0
28,29.0,0.0,0.0,3235.335816,0.0,0.0,0.0,0.0
29,30.0,0.0,0.0,3084.2626,0.0,0.0,0.0,0.0
30,31.0,0.0,0.0,3917.489487,0.0,0.0,0.0,0.0
31,32.0,0.0,0.0,3409.768215,0.0,0.0,0.0,0.0
32,33.0,0.0,0.0,2887.138737,0.0,0.0,0.0,0.0
33,34.0,0.0,0.0,2810.163964,0.0,0.0,0.0,0.0
34,35.0,0.0,0.0,2869.67241,0.0,0.0,0.0,0.0
35,36.0,0.0,0.0,53981.491187,0.0,0.0,0.0,0.0
36,37.0,0.0,0.0,3089.857847,0.0,0.0,0.0,0.0
37,38.0,0.0,0.0,1875.846718,0.0,0.0,0.0,0.0
38,39.0,0.0,0.0,4140.826381,0.0,0.0,0.0,0.0
39,40.0,0.0,0.0,52992.679824,0.0,0.0,0.0,0.0
40,41.0,0.0,0.0,2965.960304,0.0,0.0,0.0,0.0
41,42.0,0.0,0.0,2693.203601,0.0,0.0,0.0,0.0
42,43.0,0.0,0.0,3077.48317,0.0,0.0,0.0,0.0
43,44.0,0.0,0.0,52767.987655,0.0,0.0,0.0,0.0
44,45.0,0.0,0.0,3461.884556,0.0,0.0,0.0,0.0
45,46.0,0.0,0.0,2899.021489,0.0,0.0,0.0,0.0
46,47.0,0.0,0.0,3239.722183,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
