,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,308637022.0,0.0,41224.420719,0.0,287.5109827732861,0.0,2.1564393610970147
1,2.0,443122464.0,0.0,902.237045,0.0,0.0,0.0,0.0
2,3.0,704639223.0,0.0,878.392057,0.0,0.0,0.0,0.0
3,4.0,603855644.0,0.0,1317.651355,0.0,0.0,0.0,0.0
4,5.0,704269089.0,0.0,1260.369751,0.0,0.0,0.0,0.0
5,6.0,604189969.0,0.0,1543.552286,0.0,0.0,0.0,0.0
6,7.0,804913906.0,0.0,1317.424481,0.0,0.0,0.0,0.0
7,8.0,705258313.0,0.0,1224.691724,0.0,0.0,0.0,0.0
8,9.0,2009214882.0,0.0,1480.073119,0.0,0.0,0.0,0.0
9,10.0,704709946.0,0.0,1406.683577,0.0,0.0,0.0,0.0
10,11.0,704720218.0,0.0,2644.269901,0.0,0.0,0.0,0.0
11,12.0,515454999.0,0.0,1363.905912,0.0,0.0,0.0,0.0
12,13.0,604025366.0,0.0,1417.870323,0.0,0.0,0.0,0.0
13,14.0,508836579.0,0.0,1376.712825,0.0,0.0,0.0,0.0
14,15.0,303288515.0,0.0,1308.305111,0.0,0.0,0.0,0.0
15,16.0,604012147.0,0.0,1142.224034,0.0,0.0,0.0,0.0
16,17.0,746100819.0,0.0,936.872395,0.0,0.0,0.0,0.0
17,18.0,704578161.0,0.0,1284.624481,0.0,0.0,0.0,0.0
18,19.0,705188066.0,0.0,1185.953538,0.0,0.0,0.0,0.0
19,20.0,603911020.0,0.0,1327.473487,0.0,0.0,0.0,0.0
20,21.0,303252614.0,0.0,1386.373063,0.0,0.0,0.0,0.0
21,22.0,616360927.0,0.0,1290.998043,0.0,0.0,0.0,0.0
22,23.0,704756326.0,0.0,1930.85824,0.0,0.0,0.0,0.0
23,24.0,918641129.0,0.0,974.207085,0.0,0.0,0.0,0.0
24,25.0,503549633.0,0.0,1312.517912,0.0,0.0,0.0,0.0
25,26.0,804949332.0,0.0,1381.62067,0.0,0.0,0.0,0.0
26,27.0,604770425.0,0.0,1600.341969,0.0,0.0,0.0,0.0
27,28.0,906284742.0,0.0,1153.782666,0.0,0.0,0.0,0.0
28,29.0,615164032.0,0.0,1487.526397,0.0,0.0,0.0,0.0
29,30.0,520042012.0,0.0,1302.860633,0.0,0.0,0.0,0.0
30,31.0,604732528.0,0.0,1605.837711,0.0,0.0,0.0,0.0
31,32.0,846802844.0,0.0,1261.008435,0.0,0.0,0.0,0.0
32,33.0,804924473.0,0.0,1197.26037,0.0,0.0,0.0,0.0
33,34.0,705577695.0,0.0,1273.362579,0.0,0.0,0.0,0.0
34,35.0,704761383.0,0.0,1316.28809,0.0,0.0,0.0,0.0
35,36.0,303406294.0,0.0,1490.017934,0.0,0.0,0.0,0.0
36,37.0,504132775.0,0.0,1322.053384,0.0,0.0,0.0,0.0
37,38.0,503711404.0,0.0,1362.389486,0.0,0.0,0.0,0.0
38,39.0,705458809.0,0.0,1617.6396,0.0,0.0,0.0,0.0
39,40.0,905359790.0,0.0,1222.922269,0.0,0.0,0.0,0.0
40,41.0,403667613.0,0.0,1420.13174,0.0,0.0,0.0,0.0
41,42.0,905395431.0,0.0,1213.336803,0.0,0.0,0.0,0.0
42,43.0,503596972.0,0.0,1380.601797,0.0,0.0,0.0,0.0
43,44.0,308904180.0,0.0,1653.103592,0.0,0.0,0.0,0.0
44,45.0,805016206.0,0.0,1068.870223,0.0,0.0,0.0,0.0
45,46.0,303550741.0,0.0,1881.392457,0.0,0.0,0.0,0.0
46,47.0,746432882.0,0.0,1360.716165,0.0,0.0,0.0,0.0
47,48.0,2535261.0,0.0,979.942388,0.0,0.0,0.0,0.0
48,49.0,507396739.0,0.0,1777.122386,0.0,0.0,0.0,0.0
49,50.0,604390641.0,0.0,964.079977,0.0,0.0,0.0,0.0
50,51.0,1005281563.0,0.0,4294.680252,0.0,0.0,0.0,0.0
51,52.0,604804627.0,0.0,463.206136,0.0,0.0,0.0,0.0
52,53.0,603968413.0,0.0,465.214536,0.0,0.0,0.0,0.0
53,54.0,703965858.0,0.0,462.343688,0.0,0.0,0.0,0.0
54,55.0,503868298.0,0.0,1330.543337,0.0,0.0,0.0,0.0
55,56.0,503605521.0,0.0,1177.24134,0.0,0.0,0.0,0.0
56,57.0,604195063.0,0.0,1247.016365,0.0,0.0,0.0,0.0
57,58.0,303225931.0,0.0,1890.532375,0.0,0.0,0.0,0.0
58,59.0,512092590.0,0.0,1268.68644,0.0,0.0,0.0,0.0
59,60.0,964939472.0,0.0,1282.322016,0.0,0.0,0.0,0.0
60,61.0,508956878.0,0.0,1418.510169,0.0,0.0,0.0,0.0
61,62.0,2202289.0,0.0,1228.394293,0.0,0.0,0.0,0.0
62,63.0,22176839.0,0.0,1221.263692,0.0,0.0,0.0,0.0
63,64.0,2478470670.0,0.0,1553.404434,0.0,0.0,0.0,0.0
64,65.0,1969857.0,0.0,1118.33632,0.0,0.0,0.0,0.0
65,66.0,1799962.0,0.0,1320.186086,0.0,0.0,0.0,0.0
66,67.0,5722931694.0,0.0,1521.06906,0.0,0.0,0.0,0.0
67,68.0,17606061.0,0.0,2511.105575,0.0,0.0,0.0,0.0
68,69.0,5135543.0,0.0,1742.028166,0.0,0.0,0.0,0.0
69,70.0,90385389.0,0.0,2423.290866,0.0,0.0,0.0,0.0
70,71.0,1531662367.0,0.0,2269.763543,0.0,0.0,0.0,0.0
71,72.0,593862.0,0.0,1698.929921,0.0,0.0,0.0,0.0
72,73.0,21409198.0,0.0,1522.898995,0.0,0.0,0.0,0.0
73,74.0,102470309.0,0.0,1467.10238,0.0,0.0,0.0,0.0
74,75.0,2408783.0,0.0,1464.255442,0.0,0.0,0.0,0.0
75,76.0,20790092.0,0.0,1758.765632,0.0,0.0,0.0,0.0
76,77.0,1859910.0,0.0,1363.609396,0.0,0.0,0.0,0.0
