,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,51811121680.0,0.0,53831.520932,0.0,236.4007723142573,0.0,8.544811339764706
1,2.0,12682193403.0,0.0,14702.845728,0.0,0.0,0.0,0.0
2,3.0,24967700523.0,0.0,27039.782817,0.0,0.0,0.0,0.0
3,4.0,1005653995.0,0.0,3282.585815,0.0,0.0,0.0,0.0
4,5.0,1306551977.0,0.0,3378.573151,0.0,0.0,0.0,0.0
5,6.0,1105659090.0,0.0,3171.068857,0.0,0.0,0.0,0.0
6,7.0,1205855244.0,0.0,3301.760076,0.0,0.0,0.0,0.0
7,8.0,1005279940.0,0.0,3037.356206,0.0,0.0,0.0,0.0
8,9.0,1181392685.0,0.0,5576.191506,0.0,0.0,0.0,0.0
9,10.0,1764362.0,0.0,2178.140568,0.0,0.0,0.0,0.0
10,11.0,1306137232.0,0.0,3283.172872,0.0,0.0,0.0,0.0
11,12.0,1407525599.0,0.0,3515.132938,0.0,0.0,0.0,0.0
12,13.0,5143466064.0,0.0,7156.572108,0.0,0.0,0.0,0.0
13,14.0,1607756681.0,0.0,3674.582732,0.0,0.0,0.0,0.0
14,15.0,1406767645.0,0.0,3491.735041,0.0,0.0,0.0,0.0
15,16.0,1019270658.0,0.0,3126.482302,0.0,0.0,0.0,0.0
16,17.0,7256084682.0,0.0,9346.083986,0.0,0.0,0.0,0.0
17,18.0,13372670289.0,0.0,15441.292803,0.0,0.0,0.0,0.0
18,19.0,24910574454.0,0.0,26962.085835,0.0,0.0,0.0,0.0
19,20.0,1206295097.0,0.0,3265.034779,0.0,0.0,0.0,0.0
20,21.0,4722893008.0,0.0,6840.036225,0.0,0.0,0.0,0.0
21,22.0,12874095665.0,0.0,14922.714217,0.0,0.0,0.0,0.0
22,23.0,1306613713.0,0.0,3447.629385,0.0,0.0,0.0,0.0
23,24.0,905280155.0,0.0,2982.273983,0.0,0.0,0.0,0.0
24,25.0,8184104580.0,0.0,10282.065536,0.0,0.0,0.0,0.0
25,26.0,1406857431.0,0.0,3774.816286,0.0,0.0,0.0,0.0
26,27.0,2008728187.0,0.0,4089.218293,0.0,0.0,0.0,0.0
27,28.0,1506890580.0,0.0,3684.059684,0.0,0.0,0.0,0.0
28,29.0,4738397984.0,0.0,6810.080633,0.0,0.0,0.0,0.0
29,30.0,1006337166.0,0.0,3156.384409,0.0,0.0,0.0,0.0
30,31.0,1821553096.0,0.0,3975.19059,0.0,0.0,0.0,0.0
31,32.0,904973069.0,0.0,2944.397207,0.0,0.0,0.0,0.0
32,33.0,7331408484.0,0.0,9384.591427,0.0,0.0,0.0,0.0
33,34.0,13388830036.0,0.0,15468.126625,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
