,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,1183447675.0,0.0,2505.652324,0.0,452.743498536068,0.0,2.6946825386666666
1,2.0,1207850106.0,0.0,3374.952583,0.0,0.0,0.0,0.0
2,3.0,104767286.0,0.0,2316.513974,0.0,0.0,0.0,0.0
3,4.0,302128230.0,0.0,2448.084477,0.0,0.0,0.0,0.0
4,5.0,105095782.0,0.0,2440.762598,0.0,0.0,0.0,0.0
5,6.0,204482645.0,0.0,2515.902069,0.0,0.0,0.0,0.0
6,7.0,36354081.0,0.0,2260.124678,0.0,0.0,0.0,0.0
7,8.0,109444413.0,0.0,2234.199285,0.0,0.0,0.0,0.0
8,9.0,403807985.0,0.0,2771.054575,0.0,0.0,0.0,0.0
9,10.0,1591729.0,0.0,2278.146613,0.0,0.0,0.0,0.0
10,11.0,202057792.0,0.0,2548.799445,0.0,0.0,0.0,0.0
11,12.0,1810293.0,0.0,2314.443355,0.0,0.0,0.0,0.0
12,13.0,266608681.0,0.0,4865.372239,0.0,0.0,0.0,0.0
13,14.0,4428119.0,0.0,807.203129,0.0,0.0,0.0,0.0
14,15.0,105616458.0,0.0,1942.23976,0.0,0.0,0.0,0.0
15,16.0,50147213.0,0.0,2572.232635,0.0,0.0,0.0,0.0
16,17.0,101742500.0,0.0,2166.531774,0.0,0.0,0.0,0.0
17,18.0,102221139.0,0.0,2535.376079,0.0,0.0,0.0,0.0
18,19.0,1834997.0,0.0,2706.542458,0.0,0.0,0.0,0.0
19,20.0,1534475.0,0.0,2132.115143,0.0,0.0,0.0,0.0
20,21.0,317293452.0,0.0,2221.933102,0.0,0.0,0.0,0.0
21,22.0,101746830.0,0.0,2624.69933,0.0,0.0,0.0,0.0
22,23.0,1585909.0,0.0,2347.343538,0.0,0.0,0.0,0.0
23,24.0,359509765.0,0.0,2027.926539,0.0,0.0,0.0,0.0
24,25.0,1586840.0,0.0,5255.406764,0.0,0.0,0.0,0.0
25,26.0,18316159.0,0.0,1233.637359,0.0,0.0,0.0,0.0
26,27.0,1518330.0,0.0,1935.181958,0.0,0.0,0.0,0.0
27,28.0,102248603.0,0.0,1890.157607,0.0,0.0,0.0,0.0
28,29.0,103597899.0,0.0,2324.385848,0.0,0.0,0.0,0.0
29,30.0,202025071.0,0.0,2555.052275,0.0,0.0,0.0,0.0
30,31.0,306260894.0,0.0,2331.390979,0.0,0.0,0.0,0.0
31,32.0,202924572.0,0.0,2454.35381,0.0,0.0,0.0,0.0
32,33.0,1436241.0,0.0,2530.910017,0.0,0.0,0.0,0.0
33,34.0,305259256.0,0.0,2478.718178,0.0,0.0,0.0,0.0
34,35.0,162321514.0,0.0,2338.236593,0.0,0.0,0.0,0.0
35,36.0,1003451003.0,0.0,2557.510956,0.0,0.0,0.0,0.0
36,37.0,102198387.0,0.0,1605.013385,0.0,0.0,0.0,0.0
37,38.0,103081603.0,0.0,3495.150345,0.0,0.0,0.0,0.0
38,39.0,1715236.0,0.0,2523.825621,0.0,0.0,0.0,0.0
39,40.0,309364633.0,0.0,2470.859525,0.0,0.0,0.0,0.0
40,41.0,104020829.0,0.0,2180.237105,0.0,0.0,0.0,0.0
41,42.0,2685897.0,0.0,2739.141012,0.0,0.0,0.0,0.0
42,43.0,308538680.0,0.0,2573.226563,0.0,0.0,0.0,0.0
43,44.0,201745503.0,0.0,2284.110498,0.0,0.0,0.0,0.0
44,45.0,59120754.0,0.0,2628.75445,0.0,0.0,0.0,0.0
45,46.0,13283861.0,0.0,2734.624842,0.0,0.0,0.0,0.0
46,47.0,264920278.0,0.0,2324.886149,0.0,0.0,0.0,0.0
47,48.0,1513432.0,0.0,2277.80659,0.0,0.0,0.0,0.0
48,49.0,13898709.0,0.0,4972.858392,0.0,0.0,0.0,0.0
49,50.0,1608472.0,0.0,1693.208853,0.0,0.0,0.0,0.0
50,51.0,1434402.0,0.0,2350.458368,0.0,0.0,0.0,0.0
51,52.0,602635462.0,0.0,2444.997856,0.0,0.0,0.0,0.0
52,53.0,201639636.0,0.0,2178.105456,0.0,0.0,0.0,0.0
53,54.0,302070934.0,0.0,2897.86335,0.0,0.0,0.0,0.0
54,55.0,101787976.0,0.0,2424.615864,0.0,0.0,0.0,0.0
55,56.0,201801388.0,0.0,2720.206114,0.0,0.0,0.0,0.0
56,57.0,502483574.0,0.0,2413.832136,0.0,0.0,0.0,0.0
57,58.0,509860313.0,0.0,2145.815307,0.0,0.0,0.0,0.0
58,59.0,358006389.0,0.0,2477.085438,0.0,0.0,0.0,0.0
59,60.0,1203836843.0,0.0,2635.489111,0.0,0.0,0.0,0.0
60,61.0,603340403.0,0.0,1889.815647,0.0,0.0,0.0,0.0
61,62.0,204030546.0,0.0,3192.615589,0.0,0.0,0.0,0.0
62,63.0,608750346.0,0.0,2851.392554,0.0,0.0,0.0,0.0
63,64.0,306154531.0,0.0,2420.941272,0.0,0.0,0.0,0.0
64,65.0,308998466.0,0.0,2668.408565,0.0,0.0,0.0,0.0
65,66.0,703133446.0,0.0,2392.530725,0.0,0.0,0.0,0.0
66,67.0,401979161.0,0.0,2372.577154,0.0,0.0,0.0,0.0
67,68.0,301850243.0,0.0,2909.416999,0.0,0.0,0.0,0.0
68,69.0,502191993.0,0.0,2763.592044,0.0,0.0,0.0,0.0
69,70.0,502515905.0,0.0,2470.276058,0.0,0.0,0.0,0.0
70,71.0,375723454.0,0.0,2392.778404,0.0,0.0,0.0,0.0
71,72.0,1409177705.0,0.0,2652.538286,0.0,0.0,0.0,0.0
72,73.0,303541233.0,0.0,1716.17709,0.0,0.0,0.0,0.0
73,74.0,202125680.0,0.0,4010.849008,0.0,0.0,0.0,0.0
74,75.0,402317631.0,0.0,3117.804142,0.0,0.0,0.0,0.0
75,76.0,1365489.0,0.0,2301.123933,0.0,0.0,0.0,0.0
76,77.0,1105634.0,0.0,2845.132501,0.0,0.0,0.0,0.0
77,78.0,309264633.0,0.0,2531.528603,0.0,0.0,0.0,0.0
78,79.0,804727532.0,0.0,2104.951893,0.0,0.0,0.0,0.0
79,80.0,402107709.0,0.0,2207.808193,0.0,0.0,0.0,0.0
80,81.0,1264829.0,0.0,2810.981873,0.0,0.0,0.0,0.0
81,82.0,608726810.0,0.0,2911.208878,0.0,0.0,0.0,0.0
82,83.0,339693638.0,0.0,2204.721431,0.0,0.0,0.0,0.0
83,84.0,1105975169.0,0.0,3161.31082,0.0,0.0,0.0,0.0
84,85.0,702801152.0,0.0,2154.338165,0.0,0.0,0.0,0.0
85,86.0,403599283.0,0.0,3453.821421,0.0,0.0,0.0,0.0
86,87.0,101553392.0,0.0,3321.735883,0.0,0.0,0.0,0.0
87,88.0,606721436.0,0.0,3034.792579,0.0,0.0,0.0,0.0
88,89.0,204027581.0,0.0,2492.313194,0.0,0.0,0.0,0.0
89,90.0,903377069.0,0.0,3364.277039,0.0,0.0,0.0,0.0
90,91.0,201837392.0,0.0,2669.114338,0.0,0.0,0.0,0.0
91,92.0,304254991.0,0.0,3792.673191,0.0,0.0,0.0,0.0
92,93.0,508137905.0,0.0,3238.140124,0.0,0.0,0.0,0.0
93,94.0,206499386.0,0.0,3096.356159,0.0,0.0,0.0,0.0
94,95.0,405526065.0,0.0,3575.547628,0.0,0.0,0.0,0.0
95,96.0,1103876379.0,0.0,2809.414103,0.0,0.0,0.0,0.0
96,97.0,602753369.0,0.0,2490.675519,0.0,0.0,0.0,0.0
97,98.0,105027452.0,0.0,3901.347794,0.0,0.0,0.0,0.0
98,99.0,202744470.0,0.0,3961.739681,0.0,0.0,0.0,0.0
99,100.0,208919620.0,0.0,3099.924413,0.0,0.0,0.0,0.0
100,101.0,603309103.0,0.0,3090.280326,0.0,0.0,0.0,0.0
101,102.0,201807308.0,0.0,3228.822837,0.0,0.0,0.0,0.0
102,103.0,704837984.0,0.0,3844.163324,0.0,0.0,0.0,0.0
103,104.0,410442395.0,0.0,2885.649954,0.0,0.0,0.0,0.0
104,105.0,202102104.0,0.0,3535.850011,0.0,0.0,0.0,0.0
105,106.0,604812715.0,0.0,3361.832779,0.0,0.0,0.0,0.0
106,107.0,439841728.0,0.0,2762.512683,0.0,0.0,0.0,0.0
107,108.0,1505415179.0,0.0,3540.158978,0.0,0.0,0.0,0.0
108,109.0,706788900.0,0.0,1916.230711,0.0,0.0,0.0,0.0
109,110.0,602629754.0,0.0,3979.757131,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
