,Height,ConTime,BlockNum,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,1105416612.0,1.0,2714045921.0,1608629309.0,489.1894378931504,0.0,3.311600526325843
1,2.0,944336908.0,2.0,4993309813.0,4048972905.0,0.0,0.0,0.0
2,3.0,1110157.0,3.0,1308176966.0,1307066809.0,0.0,0.0,0.0
3,4.0,1330596.0,4.0,1606566300.0,1605235704.0,0.0,0.0,0.0
4,5.0,705162666.0,5.0,2294255381.0,1589092715.0,0.0,0.0,0.0
5,6.0,846231135.0,6.0,1845737424.0,999506289.0,0.0,0.0,0.0
6,7.0,1607869161.0,7.0,3222812284.0,1614943123.0,0.0,0.0,0.0
7,8.0,502951867.0,8.0,2119785818.0,1616833951.0,0.0,0.0,0.0
8,9.0,1005184541.0,9.0,2600748526.0,1595563985.0,0.0,0.0,0.0
9,10.0,937179676.0,10.0,1932176795.0,994997119.0,0.0,0.0,0.0
10,11.0,1606925192.0,11.0,3218882340.0,1611957148.0,0.0,0.0,0.0
11,12.0,1004902007.0,12.0,2589435584.0,1584533577.0,0.0,0.0,0.0
12,13.0,1807564694.0,13.0,3377103107.0,1569538413.0,0.0,0.0,0.0
13,14.0,939467449.0,14.0,1942100017.0,1002632568.0,0.0,0.0,0.0
14,15.0,1620192459.0,15.0,3214793107.0,1594600648.0,0.0,0.0,0.0
15,16.0,1105405782.0,16.0,2693467461.0,1588061679.0,0.0,0.0,0.0
16,17.0,1606964671.0,17.0,3209204543.0,1602239872.0,0.0,0.0,0.0
17,18.0,938016179.0,18.0,1968041569.0,1030025390.0,0.0,0.0,0.0
18,19.0,1306443571.0,19.0,2901357919.0,1594914348.0,0.0,0.0,0.0
19,20.0,1105349034.0,20.0,2706093447.0,1600744413.0,0.0,0.0,0.0
20,21.0,803916506.0,21.0,2446778248.0,1642861742.0,0.0,0.0,0.0
21,22.0,838420549.0,22.0,1860421469.0,1022000920.0,0.0,0.0,0.0
22,23.0,1406025955.0,23.0,2992021734.0,1585995779.0,0.0,0.0,0.0
23,24.0,1112533863.0,24.0,2736399406.0,1623865543.0,0.0,0.0,0.0
24,25.0,804022140.0,25.0,2429607592.0,1625585452.0,0.0,0.0,0.0
25,26.0,855912812.0,26.0,4921208423.0,4065295611.0,0.0,0.0,0.0
26,27.0,1106111.0,27.0,1666116652.0,1665010541.0,0.0,0.0,0.0
27,28.0,1133133.0,28.0,1750563514.0,1749430381.0,0.0,0.0,0.0
28,29.0,101577147.0,29.0,1693781208.0,1592204061.0,0.0,0.0,0.0
29,30.0,835271416.0,30.0,1833390102.0,998118686.0,0.0,0.0,0.0
30,31.0,1807677339.0,31.0,3416106495.0,1608429156.0,0.0,0.0,0.0
31,32.0,1005102030.0,32.0,2629299505.0,1624197475.0,0.0,0.0,0.0
32,33.0,1717936316.0,33.0,3363572002.0,1645635686.0,0.0,0.0,0.0
33,34.0,1236950043.0,34.0,2223542497.0,986592454.0,0.0,0.0,0.0
34,35.0,1319010513.0,35.0,2928712437.0,1609701924.0,0.0,0.0,0.0
35,36.0,1005648100.0,36.0,2622806382.0,1617158282.0,0.0,0.0,0.0
36,37.0,904898129.0,37.0,2528087632.0,1623189503.0,0.0,0.0,0.0
37,38.0,2643860481.0,38.0,6663727732.0,4019867251.0,0.0,0.0,0.0
38,39.0,703666570.0,40.0,12628887673.0,11925221103.0,0.0,0.0,0.0
39,40.0,2109548262.0,41.0,2313889997.0,204341735.0,0.0,0.0,0.0
40,41.0,838216563.0,42.0,3714121853.0,2875905290.0,0.0,0.0,0.0
41,42.0,1606863932.0,43.0,1845222307.0,238358375.0,0.0,0.0,0.0
42,43.0,1014752646.0,44.0,3242430670.0,2227678024.0,0.0,0.0,0.0
43,44.0,1306756170.0,45.0,2605840918.0,1299084748.0,0.0,0.0,0.0
44,45.0,2042520685.0,46.0,2902987605.0,860466920.0,0.0,0.0,0.0
45,46.0,2410034975.0,47.0,3016728352.0,606693377.0,0.0,0.0,0.0
46,47.0,1506421541.0,48.0,3909210819.0,2402789278.0,0.0,0.0,0.0
47,48.0,903989692.0,49.0,3034806664.0,2130816972.0,0.0,0.0,0.0
48,49.0,1840326843.0,50.0,2486804259.0,646477416.0,0.0,0.0,0.0
49,50.0,1642336.0,52.0,5942774806.0,5941132470.0,0.0,0.0,0.0
50,51.0,1807749451.0,53.0,968990870.0,-838758581.0,0.0,0.0,0.0
51,52.0,2140862980.0,54.0,1668520912.0,-472342068.0,0.0,0.0,0.0
52,53.0,1142484.0,55.0,3465496702.0,3464354218.0,0.0,0.0,0.0
53,54.0,1329667.0,56.0,6227385461.0,6226055794.0,0.0,0.0,0.0
54,55.0,1305750588.0,57.0,1645996861.0,340246273.0,0.0,0.0,0.0
55,56.0,2242197864.0,58.0,1674917322.0,-567280542.0,0.0,0.0,0.0
56,57.0,1807625844.0,59.0,2949603271.0,1141977427.0,0.0,0.0,0.0
57,58.0,803979536.0,60.0,3224554841.0,2420575305.0,0.0,0.0,0.0
58,59.0,3225731785.0,61.0,3432064298.0,206332513.0,0.0,0.0,0.0
59,60.0,1138310672.0,62.0,2399336524.0,1261025852.0,0.0,0.0,0.0
60,61.0,2309444791.0,63.0,4862524555.0,2553079764.0,0.0,0.0,0.0
61,62.0,1305696570.0,64.0,2128890241.0,823193671.0,0.0,0.0,0.0
62,63.0,1004935464.0,65.0,3986689148.0,2981753684.0,0.0,0.0,0.0
63,64.0,3850124923.0,66.0,2958982405.0,-891142518.0,0.0,0.0,0.0
64,65.0,1275192.0,68.0,2631789195.0,2630514003.0,0.0,0.0,0.0
65,66.0,1007977497.0,69.0,7942913236.0,6934935739.0,0.0,0.0,0.0
66,67.0,3045422226.0,70.0,988820485.0,-2056601741.0,0.0,0.0,0.0
67,68.0,1606993269.0,71.0,1635170599.0,28177330.0,0.0,0.0,0.0
68,69.0,14602217267.0,72.0,2645712902.0,-11956504365.0,0.0,0.0,0.0
69,70.0,1290299.0,73.0,4022738258.0,4021447959.0,0.0,0.0,0.0
70,71.0,5056148593.0,74.0,3150240600.0,-1905907993.0,0.0,0.0,0.0
71,72.0,1338655.0,75.0,18646091251.0,18644752596.0,0.0,0.0,0.0
72,73.0,2610967790.0,76.0,1670764784.0,-940203006.0,0.0,0.0,0.0
73,74.0,805086779.0,77.0,6184852503.0,5379765724.0,0.0,0.0,0.0
74,75.0,2446624537.0,78.0,1665426824.0,-781197713.0,0.0,0.0,0.0
75,76.0,1201926.0,79.0,4277246275.0,4276044349.0,0.0,0.0,0.0
76,77.0,1332285.0,80.0,2481402356.0,2480070071.0,0.0,0.0,0.0
77,78.0,4627136363.0,81.0,6474707554.0,1847571191.0,0.0,0.0,0.0
78,79.0,1036975255.0,82.0,1674484115.0,637508860.0,0.0,0.0,0.0
79,80.0,992537.0,83.0,1649151099.0,1648158562.0,0.0,0.0,0.0
80,81.0,414069911.0,84.0,6284546898.0,5870476987.0,0.0,0.0,0.0
81,82.0,1808577831.0,85.0,4701584297.0,2893006466.0,0.0,0.0,0.0
82,83.0,1540739713.0,86.0,1691909795.0,151170082.0,0.0,0.0,0.0
83,84.0,201814646.0,88.0,2044150514.0,1842335868.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
