,Height,ConTime,BlockNum,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,402134938.0,1.0,1742385255.0,1340250317.0,1023.9884407472364,0.0,1.5820491086968085
1,2.0,991682.0,2.0,1214945082.0,1213953400.0,0.0,0.0,0.0
2,3.0,201924339.0,3.0,1322784933.0,1120860594.0,0.0,0.0,0.0
3,4.0,322680211.0,4.0,1062546125.0,739865914.0,0.0,0.0,0.0
4,5.0,502434458.0,5.0,1760791486.0,1258357028.0,0.0,0.0,0.0
5,6.0,101019864.0,6.0,1407767719.0,1306747855.0,0.0,0.0,0.0
6,7.0,802684218.0,7.0,2005361133.0,1202676915.0,0.0,0.0,0.0
7,8.0,233734414.0,8.0,1024482889.0,790748475.0,0.0,0.0,0.0
8,9.0,903076678.0,9.0,2084425208.0,1181348530.0,0.0,0.0,0.0
9,10.0,100995169.0,10.0,1355162509.0,1254167340.0,0.0,0.0,0.0
10,11.0,201519529.0,11.0,1374090313.0,1172570784.0,0.0,0.0,0.0
11,12.0,223126500.0,12.0,966950780.0,743824280.0,0.0,0.0,0.0
12,13.0,602409614.0,13.0,1790949893.0,1188540279.0,0.0,0.0,0.0
13,14.0,402125739.0,14.0,1677788200.0,1275662461.0,0.0,0.0,0.0
14,15.0,401977036.0,15.0,1785131026.0,1383153990.0,0.0,0.0,0.0
15,16.0,228093001.0,16.0,977368918.0,749275917.0,0.0,0.0,0.0
16,17.0,802625998.0,17.0,2155106966.0,1352480968.0,0.0,0.0,0.0
17,18.0,742691.0,18.0,1316795821.0,1316053130.0,0.0,0.0,0.0
18,19.0,201391379.0,19.0,1629834582.0,1428443203.0,0.0,0.0,0.0
19,20.0,232438873.0,20.0,1004302021.0,771863148.0,0.0,0.0,0.0
20,21.0,702498460.0,21.0,1929673366.0,1227174906.0,0.0,0.0,0.0
21,22.0,201266737.0,22.0,1519758819.0,1318492082.0,0.0,0.0,0.0
22,23.0,104175321.0,23.0,1448403695.0,1344228374.0,0.0,0.0,0.0
23,24.0,233206488.0,24.0,1100340455.0,867133967.0,0.0,0.0,0.0
24,25.0,802352223.0,25.0,2072920524.0,1270568301.0,0.0,0.0,0.0
25,26.0,301618816.0,26.0,1387370936.0,1085752120.0,0.0,0.0,0.0
26,27.0,303222425.0,27.0,1342100781.0,1038878356.0,0.0,0.0,0.0
27,28.0,122469331.0,28.0,886134263.0,763664932.0,0.0,0.0,0.0
28,29.0,604692479.0,29.0,1774120730.0,1169428251.0,0.0,0.0,0.0
29,30.0,201619724.0,30.0,1370995301.0,1169375577.0,0.0,0.0,0.0
30,31.0,702554407.0,31.0,2073894106.0,1371339699.0,0.0,0.0,0.0
31,32.0,234380236.0,32.0,1107739113.0,873358877.0,0.0,0.0,0.0
32,33.0,802673143.0,33.0,2088653789.0,1285980646.0,0.0,0.0,0.0
33,34.0,201346998.0,34.0,1626575645.0,1425228647.0,0.0,0.0,0.0
34,35.0,101193485.0,35.0,1404821457.0,1303627972.0,0.0,0.0,0.0
35,36.0,124643063.0,36.0,1035861534.0,911218471.0,0.0,0.0,0.0
36,37.0,602327264.0,37.0,1888871162.0,1286543898.0,0.0,0.0,0.0
