,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,1151373.0,0.0,2321.019942,0.0,647.6162334281315,0.0,2.810306329669811
1,2.0,202075307.0,0.0,2338.207766,0.0,0.0,0.0,0.0
2,3.0,401848310.0,0.0,2767.7608,0.0,0.0,0.0,0.0
3,4.0,994311.0,0.0,2211.396807,0.0,0.0,0.0,0.0
4,5.0,285951271.0,0.0,1687.90948,0.0,0.0,0.0,0.0
5,6.0,1003624097.0,0.0,3424.625444,0.0,0.0,0.0,0.0
6,7.0,101612129.0,0.0,2228.9174,0.0,0.0,0.0,0.0
7,8.0,302138801.0,0.0,2731.145432,0.0,0.0,0.0,0.0
8,9.0,201434863.0,0.0,2619.027848,0.0,0.0,0.0,0.0
9,10.0,405823726.0,0.0,2741.976047,0.0,0.0,0.0,0.0
10,11.0,201517219.0,0.0,2170.405153,0.0,0.0,0.0,0.0
11,12.0,507080746.0,0.0,2661.294302,0.0,0.0,0.0,0.0
12,13.0,279359585.0,0.0,1742.778437,0.0,0.0,0.0,0.0
13,14.0,1103406452.0,0.0,3305.94895,0.0,0.0,0.0,0.0
14,15.0,511590711.0,0.0,2924.471961,0.0,0.0,0.0,0.0
15,16.0,101317783.0,0.0,2352.700295,0.0,0.0,0.0,0.0
16,17.0,402121223.0,0.0,2699.601025,0.0,0.0,0.0,0.0
17,18.0,502239192.0,0.0,2873.985895,0.0,0.0,0.0,0.0
18,19.0,110927228.0,0.0,2320.907921,0.0,0.0,0.0,0.0
19,20.0,301687615.0,0.0,2741.153589,0.0,0.0,0.0,0.0
20,21.0,169430351.0,0.0,1669.706087,0.0,0.0,0.0,0.0
21,22.0,1203888814.0,0.0,3723.869161,0.0,0.0,0.0,0.0
22,23.0,103573097.0,0.0,2471.342485,0.0,0.0,0.0,0.0
23,24.0,201681545.0,0.0,2661.673504,0.0,0.0,0.0,0.0
24,25.0,301754261.0,0.0,2833.655648,0.0,0.0,0.0,0.0
25,26.0,305296615.0,0.0,2895.728203,0.0,0.0,0.0,0.0
26,27.0,405337124.0,0.0,2825.99162,0.0,0.0,0.0,0.0
27,28.0,302189209.0,0.0,2490.54803,0.0,0.0,0.0,0.0
28,29.0,308243807.0,0.0,1850.613784,0.0,0.0,0.0,0.0
29,30.0,1111189235.0,0.0,3453.174615,0.0,0.0,0.0,0.0
30,31.0,101297647.0,0.0,2336.281338,0.0,0.0,0.0,0.0
31,32.0,404446956.0,0.0,2581.610372,0.0,0.0,0.0,0.0
32,33.0,402379905.0,0.0,2824.221592,0.0,0.0,0.0,0.0
33,34.0,603528868.0,0.0,3368.52093,0.0,0.0,0.0,0.0
34,35.0,201801101.0,0.0,2537.316978,0.0,0.0,0.0,0.0
35,36.0,301928497.0,0.0,3045.742883,0.0,0.0,0.0,0.0
36,37.0,282105985.0,0.0,1864.165133,0.0,0.0,0.0,0.0
37,38.0,1504565901.0,0.0,4504.834538,0.0,0.0,0.0,0.0
38,39.0,301977527.0,0.0,3039.381832,0.0,0.0,0.0,0.0
39,40.0,201675240.0,0.0,3016.259531,0.0,0.0,0.0,0.0
40,41.0,402124200.0,0.0,3259.944159,0.0,0.0,0.0,0.0
41,42.0,2851330.0,0.0,3187.839941,0.0,0.0,0.0,0.0
42,43.0,101517173.0,0.0,3183.382714,0.0,0.0,0.0,0.0
43,44.0,201593974.0,0.0,2606.142144,0.0,0.0,0.0,0.0
44,45.0,609486113.0,0.0,2616.760526,0.0,0.0,0.0,0.0
45,46.0,1706703076.0,0.0,4590.370085,0.0,0.0,0.0,0.0
46,47.0,1099263.0,0.0,2695.073802,0.0,0.0,0.0,0.0
47,48.0,503669550.0,0.0,3131.474167,0.0,0.0,0.0,0.0
48,49.0,406205049.0,0.0,3196.9241,0.0,0.0,0.0,0.0
49,50.0,1097956.0,0.0,2693.774195,0.0,0.0,0.0,0.0
50,51.0,509745732.0,0.0,2910.410062,0.0,0.0,0.0,0.0
51,52.0,401776082.0,0.0,3084.016942,0.0,0.0,0.0,0.0
52,53.0,157953884.0,0.0,1331.848399,0.0,0.0,0.0,0.0
