,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,3215126781.0,0.0,3827.131453,0.0,47.733208288003894,0.0,8.79890573174719
1,2.0,249495411.0,0.0,563.180621,0.0,0.0,0.0,0.0
2,3.0,302227330.0,0.0,923.213756,0.0,0.0,0.0,0.0
3,4.0,1305678023.0,0.0,1777.769501,0.0,0.0,0.0,0.0
4,5.0,302302970.0,0.0,734.171149,0.0,0.0,0.0,0.0
5,6.0,310920460.0,0.0,605.473765,0.0,0.0,0.0,0.0
6,7.0,803910025.0,0.0,1390.259351,0.0,0.0,0.0,0.0
7,8.0,201836005.0,0.0,791.686699,0.0,0.0,0.0,0.0
8,9.0,102376160.0,0.0,543.079035,0.0,0.0,0.0,0.0
9,10.0,313605966.0,0.0,2605.223155,0.0,0.0,0.0,0.0
10,11.0,1027020.0,0.0,447.065221,0.0,0.0,0.0,0.0
11,12.0,408525056.0,0.0,860.570921,0.0,0.0,0.0,0.0
12,13.0,402499926.0,0.0,829.719029,0.0,0.0,0.0,0.0
13,14.0,2217652261.0,0.0,5592.109537,0.0,0.0,0.0,0.0
14,15.0,1614237.0,0.0,334.890703,0.0,0.0,0.0,0.0
15,16.0,216245176.0,0.0,329.581642,0.0,0.0,0.0,0.0
16,17.0,202013994.0,0.0,312.522969,0.0,0.0,0.0,0.0
17,18.0,502839696.0,0.0,348.988224,0.0,0.0,0.0,0.0
18,19.0,302152353.0,0.0,757.835195,0.0,0.0,0.0,0.0
19,20.0,211151440.0,0.0,987.104811,0.0,0.0,0.0,0.0
20,21.0,1484288.0,0.0,732.619173,0.0,0.0,0.0,0.0
21,22.0,1162709.0,0.0,2481.800776,0.0,0.0,0.0,0.0
22,23.0,1261530.0,0.0,331.416745,0.0,0.0,0.0,0.0
23,24.0,2116854883.0,0.0,543.442158,0.0,0.0,0.0,0.0
24,25.0,201864601.0,0.0,472.980613,0.0,0.0,0.0,0.0
25,26.0,703697091.0,0.0,2436.443184,0.0,0.0,0.0,0.0
26,27.0,2007917377.0,0.0,618.826105,0.0,0.0,0.0,0.0
27,28.0,411793338.0,0.0,1181.434807,0.0,0.0,0.0,0.0
28,29.0,302161201.0,0.0,2655.402998,0.0,0.0,0.0,0.0
29,30.0,1409076002.0,0.0,683.079639,0.0,0.0,0.0,0.0
30,31.0,302257635.0,0.0,743.971568,0.0,0.0,0.0,0.0
31,32.0,316174951.0,0.0,1885.597997,0.0,0.0,0.0,0.0
32,33.0,1268466.0,0.0,771.830901,0.0,0.0,0.0,0.0
33,34.0,903948057.0,0.0,3699.626241,0.0,0.0,0.0,0.0
34,35.0,402999589.0,0.0,304.744704,0.0,0.0,0.0,0.0
35,36.0,1141963.0,0.0,347.756818,0.0,0.0,0.0,0.0
36,37.0,703666378.0,0.0,313.540796,0.0,0.0,0.0,0.0
37,38.0,210412697.0,0.0,1170.866157,0.0,0.0,0.0,0.0
38,39.0,1290497.0,0.0,916.179583,0.0,0.0,0.0,0.0
39,40.0,1366335.0,0.0,477.603726,0.0,0.0,0.0,0.0
40,41.0,210781282.0,0.0,1177.576362,0.0,0.0,0.0,0.0
41,42.0,201750017.0,0.0,3607.87911,0.0,0.0,0.0,0.0
42,43.0,703553993.0,0.0,336.514822,0.0,0.0,0.0,0.0
43,44.0,201719354.0,0.0,337.584283,0.0,0.0,0.0,0.0
44,45.0,311902264.0,0.0,439.503013,0.0,0.0,0.0,0.0
45,46.0,1735348.0,0.0,557.237524,0.0,0.0,0.0,0.0
46,47.0,1614031543.0,0.0,834.640428,0.0,0.0,0.0,0.0
47,48.0,210446297.0,0.0,1367.720934,0.0,0.0,0.0,0.0
48,49.0,1211717.0,0.0,852.563684,0.0,0.0,0.0,0.0
49,50.0,502940851.0,0.0,3662.414282,0.0,0.0,0.0,0.0
50,51.0,1917772561.0,0.0,336.964393,0.0,0.0,0.0,0.0
51,52.0,1630121.0,0.0,493.752535,0.0,0.0,0.0,0.0
52,53.0,604388990.0,0.0,2072.946489,0.0,0.0,0.0,0.0
53,54.0,210637330.0,0.0,3583.723061,0.0,0.0,0.0,0.0
54,55.0,979693.0,0.0,307.178926,0.0,0.0,0.0,0.0
55,56.0,446422.0,0.0,331.814893,0.0,0.0,0.0,0.0
56,57.0,210562981.0,0.0,938.407975,0.0,0.0,0.0,0.0
57,58.0,1157395.0,0.0,5288.550663,0.0,0.0,0.0,0.0
58,59.0,1607008916.0,0.0,334.068097,0.0,0.0,0.0,0.0
59,60.0,812917129.0,0.0,324.64611,0.0,0.0,0.0,0.0
60,61.0,1168955.0,0.0,1084.373385,0.0,0.0,0.0,0.0
61,62.0,202599129.0,0.0,3505.420551,0.0,0.0,0.0,0.0
62,63.0,211132235.0,0.0,298.958193,0.0,0.0,0.0,0.0
63,64.0,211754914.0,0.0,338.207334,0.0,0.0,0.0,0.0
64,65.0,206983930.0,0.0,304.873072,0.0,0.0,0.0,0.0
65,66.0,527249.0,0.0,3599.847067,0.0,0.0,0.0,0.0
66,67.0,2310133850.0,0.0,319.804031,0.0,0.0,0.0,0.0
67,68.0,101554179.0,0.0,297.888044,0.0,0.0,0.0,0.0
68,69.0,2118145720.0,0.0,2084.87756,0.0,0.0,0.0,0.0
69,70.0,403017427.0,0.0,4107.696478,0.0,0.0,0.0,0.0
70,71.0,502951118.0,0.0,338.52155,0.0,0.0,0.0,0.0
71,72.0,1128770.0,0.0,340.150357,0.0,0.0,0.0,0.0
72,73.0,1314927863.0,0.0,675.679946,0.0,0.0,0.0,0.0
73,74.0,1300055.0,0.0,3534.500543,0.0,0.0,0.0,0.0
74,75.0,112154726.0,0.0,347.888158,0.0,0.0,0.0,0.0
75,76.0,1013544094.0,0.0,311.880146,0.0,0.0,0.0,0.0
76,77.0,1771820.0,0.0,313.806931,0.0,0.0,0.0,0.0
77,78.0,110205646.0,0.0,296.725813,0.0,0.0,0.0,0.0
78,79.0,302298583.0,0.0,1455.757628,0.0,0.0,0.0,0.0
79,80.0,905005105.0,0.0,2929.547457,0.0,0.0,0.0,0.0
80,81.0,403243685.0,0.0,719.231458,0.0,0.0,0.0,0.0
81,82.0,824237511.0,0.0,2420.925851,0.0,0.0,0.0,0.0
82,83.0,402878723.0,0.0,844.32177,0.0,0.0,0.0,0.0
83,84.0,402514165.0,0.0,1182.397997,0.0,0.0,0.0,0.0
84,85.0,703584438.0,0.0,429.178874,0.0,0.0,0.0,0.0
85,86.0,211431415.0,0.0,4673.060109,0.0,0.0,0.0,0.0
86,87.0,1352075.0,0.0,333.320297,0.0,0.0,0.0,0.0
87,88.0,1517485.0,0.0,281.269415,0.0,0.0,0.0,0.0
88,89.0,1916745489.0,0.0,576.09361,0.0,0.0,0.0,0.0
89,90.0,502854454.0,0.0,4382.696199,0.0,0.0,0.0,0.0
90,91.0,302188309.0,0.0,309.251642,0.0,0.0,0.0,0.0
91,92.0,402594073.0,0.0,354.682354,0.0,0.0,0.0,0.0
92,93.0,1917295631.0,0.0,316.739151,0.0,0.0,0.0,0.0
93,94.0,1369933.0,0.0,306.809447,0.0,0.0,0.0,0.0
94,95.0,101662684.0,0.0,307.72291,0.0,0.0,0.0,0.0
95,96.0,211016211.0,0.0,771.331606,0.0,0.0,0.0,0.0
96,97.0,1341303.0,0.0,1343.449128,0.0,0.0,0.0,0.0
97,98.0,2710857270.0,0.0,882.497482,0.0,0.0,0.0,0.0
98,99.0,1336629108962.0,0.0,1091.591452,0.0,0.0,0.0,0.0
99,100.0,2617499694.0,0.0,869.32921,0.0,0.0,0.0,0.0
100,101.0,202068893.0,0.0,1001.725686,0.0,0.0,0.0,0.0
101,102.0,320092672.0,0.0,1324.973326,0.0,0.0,0.0,0.0
102,103.0,311600130.0,0.0,3578.233339,0.0,0.0,0.0,0.0
103,104.0,1200890.0,0.0,296.812375,0.0,0.0,0.0,0.0
104,105.0,211947174.0,0.0,338.763508,0.0,0.0,0.0,0.0
105,106.0,904257262.0,0.0,475.943704,0.0,0.0,0.0,0.0
106,107.0,201981671.0,0.0,2196.713068,0.0,0.0,0.0,0.0
107,108.0,304983255.0,0.0,974.263952,0.0,0.0,0.0,0.0
108,109.0,216651555.0,0.0,768.181978,0.0,0.0,0.0,0.0
109,110.0,1203677.0,0.0,961.401032,0.0,0.0,0.0,0.0
110,111.0,1113841840.0,0.0,5281.002424,0.0,0.0,0.0,0.0
111,112.0,1657192.0,0.0,334.842053,0.0,0.0,0.0,0.0
112,113.0,1406525570.0,0.0,329.876493,0.0,0.0,0.0,0.0
113,114.0,1535255.0,0.0,534.459043,0.0,0.0,0.0,0.0
114,115.0,1357032.0,0.0,3527.895779,0.0,0.0,0.0,0.0
115,116.0,813668583.0,0.0,396.910857,0.0,0.0,0.0,0.0
116,117.0,1425347.0,0.0,352.815231,0.0,0.0,0.0,0.0
117,118.0,101651084.0,0.0,3156.598832,0.0,0.0,0.0,0.0
118,119.0,1917490317.0,0.0,1336968.959399,0.0,0.0,0.0,0.0
119,120.0,1236380.0,0.0,3101.615151,0.0,0.0,0.0,0.0
120,121.0,603508671.0,0.0,707.537395,0.0,0.0,0.0,0.0
121,122.0,1616708465.0,0.0,850.214384,0.0,0.0,0.0,0.0
122,123.0,503286027.0,0.0,3648.024438,0.0,0.0,0.0,0.0
123,124.0,703870387.0,0.0,396.227243,0.0,0.0,0.0,0.0
124,125.0,1908031384.0,0.0,423.138596,0.0,0.0,0.0,0.0
125,126.0,714289605.0,0.0,353.146486,0.0,0.0,0.0,0.0
126,127.0,1644098.0,0.0,528.430028,0.0,0.0,0.0,0.0
127,128.0,1412245.0,0.0,1523.020538,0.0,0.0,0.0,0.0
128,129.0,228428631.0,0.0,701.558041,0.0,0.0,0.0,0.0
129,130.0,302153813.0,0.0,764.362711,0.0,0.0,0.0,0.0
130,131.0,402598655.0,0.0,3670.782954,0.0,0.0,0.0,0.0
131,132.0,202162171.0,0.0,367.885522,0.0,0.0,0.0,0.0
132,133.0,1315966742.0,0.0,360.999319,0.0,0.0,0.0,0.0
133,134.0,404039239.0,0.0,385.709423,0.0,0.0,0.0,0.0
134,135.0,201886361.0,0.0,4547.409152,0.0,0.0,0.0,0.0
135,136.0,804136638.0,0.0,341.56735,0.0,0.0,0.0,0.0
136,137.0,1716440626.0,0.0,383.973469,0.0,0.0,0.0,0.0
137,138.0,1611503.0,0.0,368.744515,0.0,0.0,0.0,0.0
138,139.0,804394646.0,0.0,4820.174538,0.0,0.0,0.0,0.0
139,140.0,112006592.0,0.0,385.512918,0.0,0.0,0.0,0.0
140,141.0,1154271.0,0.0,419.07432,0.0,0.0,0.0,0.0
141,142.0,1140653.0,0.0,425.990122,0.0,0.0,0.0,0.0
142,143.0,311698420.0,0.0,4211.351794,0.0,0.0,0.0,0.0
143,144.0,1056109.0,0.0,351.418469,0.0,0.0,0.0,0.0
144,145.0,905402732.0,0.0,407.973782,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
