,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,1164.439449,799.0,4603.050116,3438.6106670000004,466.1355072660227
1,2.0,1.599107,799.0,851.383255,849.784148,0.0
2,3.0,101.592956,800.0,464.784452,363.191496,0.0
3,4.0,101.728828,800.0,1621.349566,1519.620738,0.0
4,5.0,209.098174,801.0,1538.911511,1329.813337,0.0
5,6.0,503.055397,801.0,1352.696445,849.641048,0.0
6,7.0,1.401892,801.0,2077.561656,2076.159764,0.0
7,8.0,317.860862,802.0,1500.945228,1183.084366,0.0
8,9.0,101.543455,802.0,1804.242656,1702.699201,0.0
9,10.0,202.723604,803.0,1624.161641,1421.438037,0.0
10,11.0,306.009783,803.0,1624.885964,1318.876181,0.0
11,12.0,702.566292,803.0,1398.200815,695.634523,0.0
12,13.0,1.656626,804.0,4229.632749,4227.976123,0.0
13,14.0,1.595074,805.0,986.700945,985.1058710000001,0.0
14,15.0,302.288028,805.0,394.922023,92.63399500000003,0.0
15,16.0,103.897471,805.0,1373.848375,1269.950904,0.0
16,17.0,304.542627,806.0,1778.366672,1473.824045,0.0
17,18.0,208.392857,806.0,1551.272835,1342.879978,0.0
18,19.0,203.385934,807.0,1764.576117,1561.1901830000002,0.0
19,20.0,301.896727,807.0,1839.937402,1538.040675,0.0
20,21.0,202.530765,807.0,1734.399571,1531.868806,0.0
21,22.0,202.499943,808.0,1890.196538,1687.696595,0.0
22,23.0,332.992836,808.0,1631.832865,1298.840029,0.0
23,24.0,803.564064,809.0,1478.87517,675.311106,0.0
24,25.0,202.483866,809.0,1241.663088,1039.179222,0.0
25,26.0,101.874537,809.0,2168.975929,2067.101392,0.0
26,27.0,502.54252,810.0,1586.570296,1084.0277760000001,0.0
27,28.0,202.223453,810.0,1281.378363,1079.15491,0.0
28,29.0,502.722328,810.0,2067.320814,1564.598486,0.0
29,30.0,105.451088,811.0,1430.015732,1324.564644,0.0
30,31.0,202.280778,811.0,2126.344732,1924.063954,0.0
31,32.0,302.126239,812.0,1491.221173,1189.094934,0.0
32,33.0,2.080565,812.0,1600.253597,1598.173032,0.0
33,34.0,1.577874,812.0,1931.207543,1929.629669,0.0
34,35.0,265.021446,813.0,1616.636101,1351.614655,0.0
35,36.0,904.431601,813.0,1441.939577,537.5079760000001,0.0
36,37.0,699.711215,814.0,1248.798888,549.087673,0.0
37,38.0,302.460652,814.0,2114.635645,1812.1749929999999,0.0
38,39.0,103.271166,814.0,2102.177401,1998.906235,0.0
39,40.0,204.473483,815.0,1847.297295,1642.823812,0.0
40,41.0,201.675429,815.0,1610.928888,1409.253459,0.0
41,42.0,209.803425,816.0,1730.081656,1520.278231,0.0
42,43.0,302.096709,816.0,1717.639339,1415.5426300000001,0.0
43,44.0,301.868901,816.0,1567.064192,1265.195291,0.0
44,45.0,101.942753,817.0,1788.46731,1686.524557,0.0
45,46.0,522.208376,817.0,1754.193983,1231.9856069999998,0.0
