,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,1205138874.0,0.0,1860.446261,0.0,266.3611249899957,0.0,2.3276669972890627
1,2.0,3638911881.0,0.0,4338.165862,0.0,0.0,0.0,0.0
2,3.0,703783063.0,0.0,1347.952477,0.0,0.0,0.0,0.0
3,4.0,1633069538.0,0.0,5144.321522,0.0,0.0,0.0,0.0
4,5.0,1993359.0,0.0,499.534937,0.0,0.0,0.0,0.0
5,6.0,4718606423.0,0.0,462.323038,0.0,0.0,0.0,0.0
6,7.0,804017395.0,0.0,5404.31556,0.0,0.0,0.0,0.0
7,8.0,509926644.0,0.0,1475.993772,0.0,0.0,0.0,0.0
8,9.0,1907911902.0,0.0,1124.587583,0.0,0.0,0.0,0.0
9,10.0,803916635.0,0.0,2581.904514,0.0,0.0,0.0,0.0
10,11.0,524276046.0,0.0,1646.307551,0.0,0.0,0.0,0.0
11,12.0,1659823.0,0.0,4030.659619,0.0,0.0,0.0,0.0
12,13.0,7831638704.0,0.0,451.214141,0.0,0.0,0.0,0.0
13,14.0,604881221.0,0.0,419.124887,0.0,0.0,0.0,0.0
14,15.0,1807298575.0,0.0,8515.774744,0.0,0.0,0.0,0.0
15,16.0,1205347450.0,0.0,1222.9756,0.0,0.0,0.0,0.0
16,17.0,503193947.0,0.0,2455.631803,0.0,0.0,0.0,0.0
17,18.0,625413760.0,0.0,1844.103359,0.0,0.0,0.0,0.0
18,19.0,1005000375.0,0.0,1194.608161,0.0,0.0,0.0,0.0
19,20.0,704119034.0,0.0,1085.432469,0.0,0.0,0.0,0.0
20,21.0,8442231514.0,0.0,1696.271406,0.0,0.0,0.0,0.0
21,22.0,406235900.0,0.0,1348.063033,0.0,0.0,0.0,0.0
22,23.0,603677914.0,0.0,9333.594758,0.0,0.0,0.0,0.0
23,24.0,1719314425.0,0.0,1023.662539,0.0,0.0,0.0,0.0
24,25.0,904662447.0,0.0,1229.020776,0.0,0.0,0.0,0.0
25,26.0,723622973.0,0.0,2358.531753,0.0,0.0,0.0,0.0
26,27.0,1200086.0,0.0,1520.235244,0.0,0.0,0.0,0.0
27,28.0,5226101466.0,0.0,4247.865942,0.0,0.0,0.0,0.0
28,29.0,603409464.0,0.0,486.863877,0.0,0.0,0.0,0.0
29,30.0,503458840.0,0.0,464.735809,0.0,0.0,0.0,0.0
30,31.0,1907592620.0,0.0,5860.175363,0.0,0.0,0.0,0.0
31,32.0,904935028.0,0.0,1262.720025,0.0,0.0,0.0,0.0
32,33.0,724073123.0,0.0,1150.997336,0.0,0.0,0.0,0.0
33,34.0,5937147.0,0.0,2583.63491,0.0,0.0,0.0,0.0
34,35.0,7027311792.0,0.0,1566.756649,0.0,0.0,0.0,0.0
35,36.0,603943536.0,0.0,4268.418659,0.0,0.0,0.0,0.0
36,37.0,503239271.0,0.0,560.763426,0.0,0.0,0.0,0.0
37,38.0,503226243.0,0.0,436.157127,0.0,0.0,0.0,0.0
38,39.0,503001063.0,0.0,7689.127648,0.0,0.0,0.0,0.0
39,40.0,725398475.0,0.0,1277.712264,0.0,0.0,0.0,0.0
40,41.0,1004763783.0,0.0,1208.274483,0.0,0.0,0.0,0.0
41,42.0,1105189440.0,0.0,1212.632749,0.0,0.0,0.0,0.0
